,Dimension,Benchmark,Algorithm,Execution Times,Mean of Execution Times (s),Standard Deviation of Execution Times (s)
88,256,Ackley,NumPy PSO,"[0.7316471000012825, 0.7585437079978874, 0.7657879289981793, 0.7489870089993929, 0.7192206710024038]",0.7481348514556885,0.01772518828511238
89,256,Rastrigin,NumPy PSO,"[0.5727170489990385, 0.5499271009975928, 0.5370698120023008, 0.5368062609995832, 0.5809984790030285]",0.5512003898620605,0.018002856522798538
90,256,Rosenbrock,NumPy PSO,"[0.5005849840017618, 0.46250862599845277, 0.45219489600276574, 0.4546476960022119, 0.44496101699769497]",0.45357805490493774,0.006266291718930006
91,256,Sphere,NumPy PSO,"[0.23014228800457204, 0.23246086799917975, 0.23538458800612716, 0.23632462800014764, 0.23485990799963474]",0.23475749790668488,0.0014260172611102462
92,256,Ackley,JAX PSO,"[0.7917154989991104, 0.012499969998316374, 0.012324939001700841, 0.011624550003034528, 0.01241546899836976]",0.012216232717037201,0.00034716958180069923
93,256,Rastrigin,JAX PSO,"[0.6270921880059177, 0.009196939005050808, 0.009022029997140635, 0.009857820004981477, 0.008985468994069379]",0.009265564382076263,0.0003511548275128007
94,256,Rosenbrock,JAX PSO,"[0.6066503990005003, 0.010087570000905544, 0.00917473900335608, 0.009204570000292733, 0.009797819999221247]",0.009566174820065498,0.00039034997462294996
95,256,Sphere,JAX PSO,"[0.6035852689965395, 0.009108338999794796, 0.009178300002531614, 0.009832730000198353, 0.008967918998678215]",0.00927182286977768,0.0003325834695715457
96,512,Ackley,Python PSO,"[17.835200361005263, 17.15313125099783, 17.425806425999326, 17.976845853001578, 18.562338527000975]",17.779529571533203,0.5406518578529358
97,512,Rastrigin,Python PSO,"[16.58199941299972, 17.612633366996306, 16.803423001998453, 18.85620315199776, 19.582705094995617]",18.213741302490234,1.0767017602920532
98,512,Rosenbrock,Python PSO,"[19.223566895998374, 18.974991700997634, 19.25176558500243, 19.447479007001675, 18.03841220100003]",18.92816162109375,0.5404298901557922
99,512,Sphere,Python PSO,"[16.25745376499981, 16.779419020000205, 17.419105392997153, 17.877381011996476, 16.893501498998376]",17.242351531982422,0.43889254331588745
100,512,Ackley,NumPy PSO,"[1.0812413099993137, 1.0430382679987815, 1.0618034189974423, 1.0632083300006343, 1.027156047995959]",1.0488014221191406,0.014818493276834488
101,512,Rastrigin,NumPy PSO,"[0.8009974079977837, 0.827689798999927, 0.8359898790004081, 0.8093467880025855, 0.7970833680010401]",0.8175274729728699,0.015239905565977097
102,512,Rosenbrock,NumPy PSO,"[0.5886939779957174, 0.5746042579994537, 0.5968532980041346, 0.5617631470013293, 0.559489876999578]",0.573177695274353,0.014834227040410042
103,512,Sphere,NumPy PSO,"[0.34192758700373815, 0.32197447499493137, 0.3222353160017519, 0.346925497004122, 0.3338752659983584]",0.3312526345252991,0.010245888493955135
104,512,Ackley,JAX PSO,"[0.9268198650024715, 0.020285981001507025, 0.02110652099509025, 0.021965611005725805, 0.02015574100369122]",0.020878463983535767,0.0007258211262524128
105,512,Rastrigin,JAX PSO,"[0.8170839399972465, 0.011142800001834985, 0.010085161004099064, 0.012239270006830338, 0.010627191004459746]",0.01102360524237156,0.0007952783489599824
106,512,Rosenbrock,JAX PSO,"[0.7662351170001784, 0.007679841000935994, 0.007562259997939691, 0.00754192000022158, 0.00756308100244496]",0.007586775813251734,5.43958340131212e-05
107,512,Sphere,JAX PSO,"[0.7130552450034884, 0.011306969994620886, 0.009893960996123496, 0.012160099999164231, 0.010876061001908965]",0.011059273034334183,0.0008161942241713405
